MovingAverage7/USDT,MovingAverage25/USDT,BinancePriceBTC/USDT,Time/HH:MM:SS
41096.13714285707,41141.73320000001,41113.77,22:36:39
41097.55714285706,41142.13080000001,41126.91,22:36:54
41098.87857142849,41138.1616,41126.95,22:37:10
41093.45571428564,41136.643200000006,41085.42,22:37:26
41089.88857142849,41135.644400000005,41063.4,22:37:41
41083.64428571421,41133.896,41039.3,22:37:57
41080.645714285645,41127.15080000001,41044.64,22:38:13
41076.4585714285,41125.978400000015,41021.19,22:38:28
41076.7885714285,41126.07080000001,41014.01,22:38:44
41069.87571428564,41117.368400000014,41014.17,22:39:00
41068.86571428564,41117.08560000001,41014.26,22:39:16
41067.23571428564,41116.62920000001,41014.02,22:39:35
41066.86999999993,41116.526800000014,41014.02,22:39:51
41044.31285714279,41104.43080000002,40957.0,22:40:07
41044.93285714278,41104.60440000001,40969.12,22:40:22
41038.72142857136,41102.865200000015,40932.03,22:40:38
41038.54428571422,41102.815600000016,40932.06,22:40:54
41032.734285714214,41097.73720000002,40964.58,22:41:09
41037.05285714279,41098.946400000015,40987.68,22:41:25
41040.122857142786,41099.80600000001,41020.09,22:41:41
41039.93428571422,41099.753200000014,41020.13,22:41:56
41032.35428571423,41097.80360000001,41020.17,22:42:12
41032.57428571423,41097.86520000001,41020.25,22:42:28
41032.5728571428,41097.86480000001,41020.25,22:42:43
41031.4028571428,41097.53720000001,41020.04,22:42:59
41016.56142857135,41097.798400000014,41020.04,22:43:14
41016.564285714216,41097.79920000001,41020.04,22:43:30
41014.27428571421,41097.15800000001,41009.01,22:43:46
41007.379999999925,41092.91560000001,40990.92,22:44:01
41006.438571428494,41092.65200000001,40978.91,22:44:17
41006.43714285707,41092.65160000001,40978.91,22:44:32
41006.438571428494,41092.65200000001,40978.92,22:44:48
41012.57999999992,41091.68360000001,41021.56,22:45:03
41007.36857142849,41090.22440000001,40990.13,22:45:19
41015.65142857136,41092.543600000005,41045.79,22:45:34
41009.722857142784,41090.88360000001,41004.26,22:45:50
41029.02999999992,41087.9044,41038.47,22:46:06
41036.19714285706,41089.911199999995,41085.13,22:46:21
41038.93142857135,41090.676799999994,41101.88,22:46:37
41038.042857142784,41090.428,41097.74,22:46:52
41057.341428571344,41087.5516,41085.16,22:47:08
41056.717142857065,41087.3768,41085.18,22:47:23
41057.46571428563,41087.5864,41085.26,22:47:39
41056.41714285706,41087.292799999996,41075.91,22:47:54
41067.597142857056,41087.494799999986,41087.25,22:48:10
41067.47142857134,41087.45959999999,41087.35,22:48:26
41068.23999999992,41087.674799999986,41087.39,22:48:41
41066.52857142849,41087.195599999985,41087.39,22:48:57
41077.077142857066,41085.36599999999,41087.39,22:49:12
41082.21857142849,41086.805599999985,41115.22,22:49:28
41081.83285714278,41086.697599999985,41115.21,22:49:44
41107.93571428564,41087.046399999985,41133.7,22:49:59
41105.15285714278,41086.26719999999,41121.71,22:50:15
41107.56999999991,41086.94399999999,41121.85,22:50:31
41110.498571428485,41087.76399999999,41144.85,22:50:46
41126.304285714206,41084.94999999999,41132.44,22:51:02
41128.33285714278,41085.51799999999,41144.92,22:51:18
41128.33571428563,41085.51879999999,41159.24,22:51:34
41127.02714285706,41085.15239999999,41159.24,22:51:49
41151.827142857066,41086.7956,41165.98,22:52:05
41147.79714285707,41085.667199999996,41145.05,22:52:20
41148.652857142784,41085.9068,41145.06,22:52:36
41149.65428571421,41086.1872,41145.08,22:52:52
41158.20142857136,41088.335999999996,41164.19,22:53:08
41157.96999999993,41088.271199999996,41164.19,22:53:23
41157.972857142784,41088.272,41158.41,22:53:39
41151.344285714214,41086.416,41114.37,22:53:54
41148.3428571428,41084.82239999999,41072.34,22:54:10
41153.48428571423,41086.26199999999,41107.41,22:54:31
41156.05714285709,41086.982399999986,41123.6,22:54:47
41162.252857142805,41087.937199999986,41123.83,22:55:02
41159.799999999945,41087.25039999998,41104.18,22:55:18
41159.87285714281,41087.270799999984,41104.27,22:55:34
41126.98999999994,41089.00479999999,41090.29,22:58:14
41126.67999999994,41088.91799999998,41087.42,22:58:30
41125.799999999945,41088.67159999999,41074.43,22:58:46
41115.43428571423,41090.367199999986,41087.25,22:59:01
41115.88857142852,41090.49439999999,41087.27,22:59:17
41115.74571428566,41090.45439999999,41087.29,22:59:33
41112.74714285709,41089.61479999999,41074.42,22:59:48
41105.13428571423,41089.16319999998,41057.43,23:00:04
41107.847142857085,41089.922799999986,41066.74,23:00:20
41106.71571428566,41089.605999999985,41052.67,23:00:35
41107.214285714224,41089.74559999999,41065.46,23:00:51
41100.40142857137,41087.948,41078.46,23:01:07
41106.39857142851,41089.627199999995,41125.39,23:01:22
41104.65428571422,41089.1388,41112.62,23:01:38
41104.162857142794,41089.0012,41112.64,23:01:54
41105.33285714279,41093.1072,41112.6,23:02:09
41108.0085714285,41093.8564,41125.45,23:02:25
41108.65571428564,41094.037599999996,41125.59,23:02:41
41105.90285714279,41093.2668,41114.0,23:02:57
41119.00142857136,41098.45759999999,41154.15,23:03:12
41118.99857142851,41098.456799999985,41154.29,23:03:28
41114.91999999993,41097.314799999986,41129.28,23:03:43
41124.54428571421,41106.50999999999,41136.95,23:03:59
41127.694285714235,41107.391999999985,41151.55,23:04:15
41126.438571428516,41107.04039999999,41151.61,23:04:31
41127.27857142851,41107.27559999999,41151.73,23:04:46
41136.94285714281,41114.9292,41151.89,23:05:02
41133.08571428566,41113.8492,41121.91,23:05:18
41133.084285714234,41113.8488,41121.83,23:05:33
41132.65714285709,41113.7292,41121.84,23:05:49
41138.16857142852,41117.5016,41121.84,23:06:05
41138.16714285709,41117.5012,41121.85,23:06:20
41140.91999999995,41118.272000000004,41137.53,23:06:36
41142.212857142804,41118.634000000005,41150.25,23:06:52
41155.311428571375,41124.149600000004,41150.41,23:07:07
41155.59142857138,41124.228,41152.41,23:07:23
41155.51142857137,41124.20560000001,41152.67,23:07:39
41154.73285714281,41123.9876,41152.87,23:07:54
41159.43428571424,41130.318,41152.92,23:08:10
41154.61285714281,41128.968,41121.84,23:08:25
41159.00857142852,41130.198800000006,41141.55,23:08:41
41158.84428571424,41130.1528,41134.37,23:08:57
41159.437142857096,41134.2928,41134.43,23:09:12
41162.17571428566,41135.0596,41142.31,23:09:28
41161.48571428567,41134.8664,41142.46,23:09:44
41159.15857142852,41139.1148,41136.16,23:09:59
41159.81857142852,41139.299600000006,41136.17,23:10:15
41160.75857142852,41139.5628,41136.21,23:10:31
41163.06285714281,41140.208000000006,41152.65,23:10:46
41167.8714285714,41143.331600000005,41168.57,23:11:02
41165.72714285711,41142.73120000001,41154.97,23:11:18
41162.89999999997,41141.939600000005,41145.91,23:11:34
41162.972857142835,41141.96000000001,41145.91,23:11:49
41163.259999999966,41143.17160000001,41145.91,23:12:05
41163.968571428544,41143.37000000001,41145.91,23:12:21
41163.65714285711,41143.28280000001,41145.91,23:12:36
41162.51714285711,41142.96360000001,41131.69,23:12:52
41153.597142857114,41142.988000000005,41109.66,23:13:08
41152.9814285714,41142.8156,41109.68,23:13:23
41152.51428571426,41142.68480000001,41109.68,23:13:39
41150.83857142855,41142.2156,41080.02,23:13:54
41143.2314285714,41140.130800000006,41080.06,23:14:10
41143.16428571426,41140.11200000001,41080.13,23:14:26
41142.96428571426,41140.056000000004,41109.68,23:14:42
41143.68571428569,41140.25800000001,41101.31,23:14:57
41138.31999999997,41138.2176,41101.31,23:15:13
41138.63428571426,41138.30560000001,41101.35,23:15:28
41140.852857142825,41138.92680000001,41101.51,23:15:44
41138.467142857124,41136.8164,41101.64,23:16:00
41137.181428571406,41136.4564,41101.78,23:16:15
41134.287142857116,41135.64600000001,41092.03,23:16:31
41133.9514285714,41135.552,41083.62,23:16:47
41116.329999999994,41131.24840000001,41073.44,23:17:03
41115.35285714285,41130.9748,41073.51,23:17:18
41114.998571428565,41130.87560000001,41073.51,23:17:34
41115.51428571427,41131.020000000004,41073.63,23:17:50
41098.6114285714,41126.95840000001,41047.57,23:18:26
41097.857142857116,41126.747200000005,41047.69,23:18:41
41097.85428571426,41126.7464,41047.88,23:18:57
41087.19857142854,41122.96960000001,41037.61,23:19:13
41087.94428571426,41123.178400000004,41037.77,23:19:29
41085.08714285712,41122.37840000001,41027.6,23:19:45
41076.88285714283,41119.4892,41027.47,23:20:00
41076.13857142854,41119.28080000001,41027.61,23:20:16
41076.68571428569,41119.434,41027.53,23:20:32
41076.26999999997,41119.31760000001,41027.75,23:20:48
41070.75571428569,41118.895200000006,41028.62,23:21:04
41070.677142857116,41118.87320000001,41028.91,23:21:19
41069.821428571406,41118.63360000001,41029.64,23:21:59
41056.43571428569,41116.102,41029.75,23:22:14
41056.56857142855,41116.1392,41031.91,23:22:30
41056.21571428569,41116.0404,41031.9,23:22:45
41048.83857142855,41113.5224,41031.94,23:23:01
41047.12142857141,41113.041600000004,41032.09,23:23:17
41045.32714285712,41112.53920000001,41014.75,23:23:32
41049.37142857141,41113.6716,41046.71,23:23:48
41047.31714285712,41110.7964,41029.84,23:24:04
41048.84571428569,41111.2244,41050.61,23:24:19
41051.078571428545,41111.8496,41061.35,23:24:35
41049.41285714284,41111.383200000004,41027.79,23:24:51
41048.729999999974,41110.5112,41046.46,23:25:06
41049.002857142834,41110.5876,41048.54,23:25:22
41048.31428571426,41110.3948,41040.26,23:25:38
41047.62714285712,41110.202399999995,41040.26,23:25:53
41048.91285714284,41107.2284,41042.33,23:26:09
41049.54714285712,41107.406,41044.4,23:26:25
41049.03428571427,41107.2624,41044.4,23:26:41
41045.05714285712,41106.148799999995,41013.07,23:26:56
41042.48285714283,41102.1544,41031.62,23:27:12
41042.31857142855,41102.1084,41023.2,23:27:28
41039.48285714283,41101.3144,41002.07,23:27:43
41045.05857142855,41098.53599999999,41039.15,23:27:59
41049.95714285712,41099.9076,41064.49,23:28:41
41049.819999999985,41099.8692,41066.56,23:28:57
41056.62428571427,41096.404,41089.3,23:29:12
41061.14142857141,41093.458,41064.52,23:29:59
41061.14428571429,41093.4588,41069.93,23:30:57
41062.86,41089.0496,41053.07,23:31:13
41062.86,41089.0496,41053.07,23:31:29
41054.217142857146,41082.1328,41017.3,23:32:00
41051.072857142855,41081.2524,41002.05,23:32:16
41050.217142857146,41081.0128,40980.02,23:32:32
41051.787142857145,41081.452399999995,40988.29,23:32:48
41047.17285714286,41075.266800000005,40988.29,23:33:04
41046.780000000006,41075.156800000004,40980.02,23:33:19
41046.93142857143,41075.1992,40980.02,23:33:35
41045.791428571436,41074.88,40980.02,23:33:51
41035.92571428572,41068.0744,40980.02,23:34:07
41036.985714285714,41068.3712,40994.43,23:34:23
41039.16142857143,41068.9804,40994.43,23:34:39
41039.06857142858,41068.9544,40994.43,23:34:54
41027.72714285715,41061.3492,40994.43,23:35:10
41026.72571428573,41061.0688,40994.43,23:35:26
41031.29428571429,41062.348,41021.19,23:35:42
41031.292857142864,41062.3476,41021.19,23:35:58
41029.722857142864,41058.956399999995,41048.37,23:36:13
41026.43000000001,41058.0344,41032.35,23:36:29
41025.86571428572,41057.876399999994,41015.37,23:36:45
41018.58142857144,41053.7828,41015.37,23:37:01
41016.86571428572,41053.3024,41015.37,23:37:16
41013.85142857144,41052.458399999996,40981.29,23:37:32
41013.461428571434,41052.3492,40987.5,23:37:48
41010.138571428586,41048.05959999999,40987.51,23:38:03
41009.67142857144,41047.9288,40987.51,23:38:19
41009.670000000006,41047.9284,40997.87,23:38:35
41009.50571428572,41047.882399999995,40985.35,23:38:50
41005.84285714286,41042.6976,40984.11,23:39:06
41003.79571428573,41042.1244,40980.86,23:39:22
40997.3242857143,41040.312399999995,40919.14,23:39:38
40993.03285714286,41039.110799999995,40912.92,23:39:54
40978.732857142866,41029.348000000005,40907.67,23:40:09
40982.072857142855,41030.283200000005,40915.65,23:40:25
40982.15142857144,41030.30520000001,40915.65,23:40:41
40980.478571428575,41029.836800000005,40908.35,23:40:56
40973.721428571436,41024.5704,40953.54,23:41:12
40969.872857142866,41023.4928,40916.6,23:41:28
40970.76428571429,41023.742399999996,40924.93,23:41:44
40970.76428571429,41023.742399999996,40927.08,23:41:59
40957.251428571435,41019.4816,40927.14,23:42:15
40957.251428571435,41019.4816,40927.39,23:42:31
40960.687142857154,41020.44359999999,40950.28,23:42:47
40949.25428571429,41016.02920000001,40950.24,23:43:03
41081.471428571436,41070.615200000015,41033.99,15:16:18
41080.25285714287,41070.27400000001,41027.08,15:16:34
41079.09571428573,41069.95000000001,41013.87,15:16:49
41062.99142857145,41073.216000000015,41016.49,15:17:05
41060.97285714287,41072.65080000002,41014.14,15:17:21
41063.20714285715,41073.27640000002,41020.56,15:17:37
41062.45714285715,41073.06640000002,41018.52,15:17:53
41050.472857142864,41076.555600000014,41020.55,15:18:08
41050.88285714287,41076.67040000002,41025.83,15:18:39
41050.94000000001,41076.68640000001,41018.03,15:18:54
41043.84000000002,41079.672000000006,41018.56,15:19:10
41042.37571428573,41079.26200000001,41010.33,15:19:27
41039.37000000002,41078.4204,40988.27,15:19:42
41038.94142857145,41078.30040000001,40990.39,15:19:58
41026.22571428572,41078.8888,40997.91,15:20:14
41026.01285714286,41078.82920000001,41002.69,15:20:30
41026.10857142857,41078.85600000001,41002.96,15:20:46
41018.49428571429,41079.00320000001,41000.87,15:21:01
41024.01714285714,41080.549600000006,41038.02,15:21:17
41023.22000000001,41080.3264,41025.67,15:21:33
41023.87714285714,41080.51040000001,41031.89,15:21:48
41025.11285714286,41081.567599999995,41048.39,15:22:04
41021.88285714287,41080.663199999995,41019.53,15:22:20
41023.077142857146,41080.997599999995,41025.79,15:22:36
41021.38857142858,41080.5248,41017.46,15:22:51
41018.09571428572,41075.6444,40992.53,15:23:07
41015.902857142864,41075.0304,40979.96,15:23:23
41017.105714285724,41075.3672,40982.06,15:23:39
41016.62142857143,41075.2316,40977.85,15:23:55
41011.5842857143,41070.2336,40979.94,15:24:10
41011.19428571429,41070.1244,40977.88,15:24:26
41011.722857142864,41070.272399999994,40977.99,15:24:42
41012.13571428572,41070.388,40984.48,15:24:57
40797.09857142861,40806.00520000001,40795.32,07:23:00
40798.68285714289,40806.82560000002,40795.32,07:23:16
40798.56571428575,40806.792800000025,40793.25,07:23:32
40798.13714285718,40806.67280000002,40793.25,07:23:47
40796.96571428575,40807.77400000001,40780.94,07:24:03
40796.767142857185,40807.71840000001,40781.54,07:24:19
40798.81000000004,40808.29040000001,40791.17,07:24:35
40798.81142857147,40808.29080000001,40791.17,07:24:51
40800.890000000036,40808.17080000001,40791.17,07:25:08
40800.4528571429,40808.048400000014,40791.17,07:25:23
40800.29000000004,40808.00280000001,40791.17,07:25:39
40799.704285714324,40807.83880000001,40791.16,07:25:54
40800.795714285756,40806.97720000001,40780.94,07:26:10
40800.797142857184,40806.97760000001,40780.95,07:26:26
40800.465714285754,40806.884800000014,40782.98,07:26:41
40800.14714285719,40806.79560000001,40780.94,07:26:57
40799.54000000004,40805.744399999996,40780.94,07:27:12
40798.14428571433,40805.3536,40765.41,07:27:28
40798.680000000044,40805.5036,40765.41,07:27:44
40795.98571428575,40804.2668,40765.41,07:27:59
40796.170000000035,40804.3184,40765.42,07:28:15
40795.62000000004,40804.164399999994,40765.42,07:28:31
40544.21857142871,40553.701200000054,40552.65,10:28:10
40552.63571428585,40554.671200000055,40554.69,10:29:13
